"Account_status" "Duration" "Credit_history" "Purpose" "Amount" "Savings" "Employment" "Installment_rate" "Guarantors" "Resident_since" "Property" "Age" "Other_plans" "Housing" "Num_credits" "Job" "People_maintenance" "Phone" "Foreign" "BAD" "Female" "probability" "predicted"
"26" "< 0 DM" 6 "existing credits paid back duly till now" "furniture / equipment" 1374 "< 100 DM" "1  <= ... < 4 years" 1 "none" 2 "real estate" 36 "bank" "A152" 1 "unskilled - resident" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.26704545 0
"27" "no checking account" 6 "no credits taken / all credits paid back duly" "radio / television" 426 "< 100 DM" ">= 7 years" 4 "none" 4 "car or other" 39 "none" "A152" 1 "unskilled - resident" 1 "none" "yes" "GOOD" "Female" 0.24725275 0
"28" ">= 200 DM" 12 "all credits at this bank paid back duly" "radio / television" 409 ">= 1000 DM" "1  <= ... < 4 years" 3 "none" 3 "real estate" 42 "none" "A151" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.40217391 0
"29" "0 < ... <  200 DM" 7 "existing credits paid back duly till now" "radio / television" 2415 "< 100 DM" "1  <= ... < 4 years" 3 "guarantor" 2 "real estate" 34 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.03092784 0
"30" "< 0 DM" 60 "delay in paying off in the past" "business" 6836 "< 100 DM" ">= 7 years" 3 "none" 4 "unknown / no property" 63 "none" "A152" 2 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.64285714 1
"31" "0 < ... <  200 DM" 18 "existing credits paid back duly till now" "business" 1913 ">= 1000 DM" "< 1 year" 3 "none" 3 "real estate" 36 "bank" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.20809249 0
"32" "< 0 DM" 24 "existing credits paid back duly till now" "furniture / equipment" 4020 "< 100 DM" "1  <= ... < 4 years" 2 "none" 2 "car or other" 27 "stores" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.51041667 1
"33" "0 < ... <  200 DM" 18 "existing credits paid back duly till now" "car (new)" 5866 "100 <= ... <  500 DM" "1  <= ... < 4 years" 2 "none" 2 "car or other" 30 "none" "A152" 2 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.38285714 0
"34" "no checking account" 12 "critical account / other credits existing (not at this bank)" "business" 1264 "unknown / no savings account" ">= 7 years" 4 "none" 4 "unknown / no property" 57 "none" "A151" 1 "unskilled - resident" 1 "none" "yes" "GOOD" "Female" 0.12571429 0
"35" ">= 200 DM" 12 "existing credits paid back duly till now" "furniture / equipment" 1474 "< 100 DM" "< 1 year" 4 "none" 1 "building society savings agreement / life insurance" 33 "bank" "A152" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.25824176 0
"36" "0 < ... <  200 DM" 45 "critical account / other credits existing (not at this bank)" "radio / television" 4746 "< 100 DM" "< 1 year" 4 "none" 2 "building society savings agreement / life insurance" 25 "none" "A152" 2 "unskilled - resident" 1 "none" "yes" "BAD" "Female" 0.609375 1
"37" "no checking account" 48 "critical account / other credits existing (not at this bank)" "education" 6110 "< 100 DM" "1  <= ... < 4 years" 1 "none" 3 "unknown / no property" 31 "bank" "A153" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.55882353 1
"38" ">= 200 DM" 18 "existing credits paid back duly till now" "radio / television" 2100 "< 100 DM" "1  <= ... < 4 years" 4 "co-applicant" 2 "real estate" 37 "stores" "A152" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Female" 0.25555556 0
"39" ">= 200 DM" 10 "existing credits paid back duly till now" "domestic appliances" 1225 "< 100 DM" "1  <= ... < 4 years" 2 "none" 2 "car or other" 37 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.17258883 0
"40" "0 < ... <  200 DM" 9 "existing credits paid back duly till now" "radio / television" 458 "< 100 DM" "1  <= ... < 4 years" 4 "none" 3 "real estate" 24 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.28571429 0
"41" "no checking account" 30 "existing credits paid back duly till now" "radio / television" 2333 "500 <= ... < 1000 DM" ">= 7 years" 4 "none" 2 "car or other" 30 "bank" "A152" 1 "management / self-employed / highly qualified employee / officer" 1 "none" "yes" "GOOD" "Female" 0.23267327 0
"42" "0 < ... <  200 DM" 12 "existing credits paid back duly till now" "radio / television" 1158 "500 <= ... < 1000 DM" "1  <= ... < 4 years" 3 "none" 1 "car or other" 26 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.43783784 0
"43" "0 < ... <  200 DM" 18 "delay in paying off in the past" "repairs" 6204 "< 100 DM" "1  <= ... < 4 years" 2 "none" 4 "real estate" 44 "none" "A152" 1 "unskilled - resident" 2 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.30693069 0
"44" "< 0 DM" 30 "critical account / other credits existing (not at this bank)" "car (used)" 6187 "100 <= ... <  500 DM" "4  <= ... < 7 years" 1 "none" 4 "car or other" 24 "none" "A151" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.45856354 0
"45" "< 0 DM" 48 "critical account / other credits existing (not at this bank)" "car (used)" 6143 "< 100 DM" ">= 7 years" 4 "none" 4 "unknown / no property" 58 "stores" "A153" 2 "unskilled - resident" 1 "none" "yes" "BAD" "Male" 0.63535912 1
"46" "no checking account" 11 "critical account / other credits existing (not at this bank)" "car (new)" 1393 "< 100 DM" "< 1 year" 4 "none" 4 "car or other" 35 "none" "A152" 2 "management / self-employed / highly qualified employee / officer" 1 "none" "yes" "GOOD" "Male" 0.10731707 0
"47" "no checking account" 36 "existing credits paid back duly till now" "radio / television" 2299 "500 <= ... < 1000 DM" ">= 7 years" 4 "none" 4 "car or other" 39 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.04975124 0
"48" "< 0 DM" 6 "existing credits paid back duly till now" "car (used)" 1352 "500 <= ... < 1000 DM" "unemployed" 1 "none" 2 "building society savings agreement / life insurance" 23 "none" "A151" 1 "unemployed / unskilled  - non-resident" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.33152174 0
"49" "no checking account" 11 "critical account / other credits existing (not at this bank)" "car (new)" 7228 "< 100 DM" "1  <= ... < 4 years" 1 "none" 4 "building society savings agreement / life insurance" 39 "none" "A152" 2 "unskilled - resident" 1 "none" "yes" "GOOD" "Female" 0.13333333 0
"50" "no checking account" 12 "existing credits paid back duly till now" "radio / television" 2073 "100 <= ... <  500 DM" "1  <= ... < 4 years" 4 "co-applicant" 2 "real estate" 28 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.12834225 0
"51" "0 < ... <  200 DM" 24 "delay in paying off in the past" "furniture / equipment" 2333 "unknown / no savings account" "< 1 year" 4 "none" 2 "building society savings agreement / life insurance" 29 "bank" "A152" 1 "unskilled - resident" 1 "none" "yes" "GOOD" "Female" 0.44174757 0
"52" "0 < ... <  200 DM" 27 "delay in paying off in the past" "car (used)" 5965 "< 100 DM" ">= 7 years" 1 "none" 2 "car or other" 30 "none" "A152" 2 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.2513089 0
"53" "no checking account" 12 "existing credits paid back duly till now" "radio / television" 1262 "< 100 DM" "1  <= ... < 4 years" 3 "none" 2 "car or other" 25 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.09302326 0
"54" "no checking account" 18 "existing credits paid back duly till now" "car (used)" 3378 "unknown / no savings account" "1  <= ... < 4 years" 2 "none" 1 "building society savings agreement / life insurance" 31 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.14141414 0
"55" "0 < ... <  200 DM" 36 "delay in paying off in the past" "car (new)" 2225 "< 100 DM" ">= 7 years" 4 "none" 4 "unknown / no property" 57 "bank" "A153" 2 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.6 1
"56" "no checking account" 6 "all credits at this bank paid back duly" "car (new)" 783 "unknown / no savings account" "1  <= ... < 4 years" 1 "guarantor" 2 "real estate" 26 "stores" "A152" 1 "unskilled - resident" 2 "none" "yes" "GOOD" "Female" 0.4 0
"57" "0 < ... <  200 DM" 12 "existing credits paid back duly till now" "radio / television" 6468 "unknown / no savings account" "unemployed" 2 "none" 1 "unknown / no property" 52 "none" "A152" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.21989529 0
"58" "no checking account" 36 "critical account / other credits existing (not at this bank)" "radio / television" 9566 "< 100 DM" "1  <= ... < 4 years" 2 "none" 2 "car or other" 31 "stores" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.32402235 0
"59" ">= 200 DM" 18 "existing credits paid back duly till now" "car (new)" 1961 "< 100 DM" ">= 7 years" 3 "none" 2 "car or other" 23 "none" "A152" 1 "management / self-employed / highly qualified employee / officer" 1 "none" "yes" "GOOD" "Male" 0.3556701 0
"60" "< 0 DM" 36 "critical account / other credits existing (not at this bank)" "furniture / equipment" 6229 "< 100 DM" "< 1 year" 4 "co-applicant" 4 "unknown / no property" 23 "none" "A151" 2 "unskilled - resident" 1 "yes, registered under the customers name" "yes" "BAD" "Male" 0.63636364 1
"61" "0 < ... <  200 DM" 9 "existing credits paid back duly till now" "business" 1391 "< 100 DM" "1  <= ... < 4 years" 2 "none" 1 "real estate" 27 "bank" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.22340426 0
"62" "0 < ... <  200 DM" 15 "critical account / other credits existing (not at this bank)" "radio / television" 1537 "unknown / no savings account" ">= 7 years" 4 "guarantor" 4 "real estate" 50 "none" "A152" 2 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.10769231 0
"63" "0 < ... <  200 DM" 36 "no credits taken / all credits paid back duly" "business" 1953 "< 100 DM" ">= 7 years" 4 "none" 4 "unknown / no property" 61 "none" "A153" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.68717949 1
"64" "0 < ... <  200 DM" 48 "no credits taken / all credits paid back duly" "business" 14421 "< 100 DM" "1  <= ... < 4 years" 2 "none" 2 "car or other" 25 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.78142077 1
"65" "no checking account" 24 "existing credits paid back duly till now" "radio / television" 3181 "< 100 DM" "< 1 year" 4 "none" 4 "building society savings agreement / life insurance" 26 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.09189189 0
"66" "no checking account" 27 "existing credits paid back duly till now" "repairs" 5190 "unknown / no savings account" ">= 7 years" 4 "none" 4 "building society savings agreement / life insurance" 48 "none" "A152" 4 "skilled employee / official" 2 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.22222222 0
"67" "no checking account" 12 "existing credits paid back duly till now" "radio / television" 2171 "< 100 DM" "< 1 year" 2 "none" 2 "car or other" 29 "bank" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.13636364 0
"68" "0 < ... <  200 DM" 12 "existing credits paid back duly till now" "car (new)" 1007 ">= 1000 DM" "1  <= ... < 4 years" 4 "none" 1 "real estate" 22 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.44134078 0
"69" "no checking account" 36 "existing credits paid back duly till now" "education" 1819 "< 100 DM" "1  <= ... < 4 years" 4 "none" 4 "unknown / no property" 37 "stores" "A153" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.30769231 0
"70" "no checking account" 36 "existing credits paid back duly till now" "radio / television" 2394 "unknown / no savings account" "1  <= ... < 4 years" 4 "none" 4 "car or other" 25 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.15463918 0
"71" "no checking account" 36 "existing credits paid back duly till now" "car (used)" 8133 "< 100 DM" "1  <= ... < 4 years" 1 "none" 2 "building society savings agreement / life insurance" 30 "bank" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.38586957 0
"72" "no checking account" 7 "critical account / other credits existing (not at this bank)" "radio / television" 730 "unknown / no savings account" ">= 7 years" 4 "none" 2 "building society savings agreement / life insurance" 46 "none" "A151" 2 "unskilled - resident" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.06179775 0
"73" "< 0 DM" 8 "critical account / other credits existing (not at this bank)" "others" 1164 "< 100 DM" ">= 7 years" 3 "none" 4 "unknown / no property" 51 "bank" "A153" 2 "management / self-employed / highly qualified employee / officer" 2 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.43820225 0
"74" "0 < ... <  200 DM" 42 "critical account / other credits existing (not at this bank)" "business" 5954 "< 100 DM" "4  <= ... < 7 years" 2 "none" 1 "real estate" 41 "bank" "A152" 2 "unskilled - resident" 1 "none" "yes" "GOOD" "Male" 0.43147208 0
"75" "< 0 DM" 36 "existing credits paid back duly till now" "education" 1977 "unknown / no savings account" ">= 7 years" 4 "none" 4 "unknown / no property" 40 "none" "A152" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.31952663 0
"76" "< 0 DM" 12 "critical account / other credits existing (not at this bank)" "car (used)" 1526 "< 100 DM" ">= 7 years" 4 "none" 4 "unknown / no property" 66 "none" "A153" 2 "management / self-employed / highly qualified employee / officer" 1 "none" "yes" "GOOD" "Female" 0.35393258 0
"77" "< 0 DM" 42 "existing credits paid back duly till now" "radio / television" 3965 "< 100 DM" "< 1 year" 4 "none" 3 "car or other" 34 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Female" 0.65240642 1
"78" "0 < ... <  200 DM" 11 "delay in paying off in the past" "radio / television" 4771 "< 100 DM" "4  <= ... < 7 years" 2 "none" 4 "building society savings agreement / life insurance" 51 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.29120879 0
"79" "no checking account" 54 "no credits taken / all credits paid back duly" "car (used)" 9436 "unknown / no savings account" "1  <= ... < 4 years" 2 "none" 2 "building society savings agreement / life insurance" 39 "none" "A152" 1 "unskilled - resident" 2 "none" "yes" "GOOD" "Female" 0.19895288 0
"80" "0 < ... <  200 DM" 30 "existing credits paid back duly till now" "furniture / equipment" 3832 "< 100 DM" "< 1 year" 2 "none" 1 "building society savings agreement / life insurance" 22 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.55555556 1
"81" "no checking account" 24 "existing credits paid back duly till now" "radio / television" 5943 "unknown / no savings account" "< 1 year" 1 "none" 1 "car or other" 44 "none" "A152" 2 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "BAD" "Male" 0.14130435 0
"82" "no checking account" 15 "existing credits paid back duly till now" "radio / television" 1213 "500 <= ... < 1000 DM" ">= 7 years" 4 "none" 3 "building society savings agreement / life insurance" 47 "stores" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.1160221 0
"83" "no checking account" 18 "existing credits paid back duly till now" "business" 1568 "100 <= ... <  500 DM" "1  <= ... < 4 years" 3 "none" 4 "building society savings agreement / life insurance" 24 "none" "A151" 1 "unskilled - resident" 1 "none" "yes" "GOOD" "Male" 0.36312849 0
"84" "< 0 DM" 24 "existing credits paid back duly till now" "others" 1755 "< 100 DM" ">= 7 years" 4 "guarantor" 4 "real estate" 58 "none" "A152" 1 "unskilled - resident" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.32019704 0
"85" "< 0 DM" 10 "existing credits paid back duly till now" "radio / television" 2315 "< 100 DM" ">= 7 years" 3 "none" 4 "real estate" 52 "none" "A152" 1 "unskilled - resident" 1 "none" "yes" "GOOD" "Female" 0.15384615 0
"86" "no checking account" 12 "critical account / other credits existing (not at this bank)" "business" 1412 "< 100 DM" "1  <= ... < 4 years" 4 "guarantor" 2 "real estate" 29 "none" "A152" 2 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.1741573 0
"87" "0 < ... <  200 DM" 18 "critical account / other credits existing (not at this bank)" "furniture / equipment" 1295 "< 100 DM" "< 1 year" 4 "none" 1 "building society savings agreement / life insurance" 27 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.45454545 0
"88" "0 < ... <  200 DM" 36 "existing credits paid back duly till now" "education" 12612 "100 <= ... <  500 DM" "1  <= ... < 4 years" 1 "none" 4 "unknown / no property" 47 "none" "A153" 1 "skilled employee / official" 2 "yes, registered under the customers name" "yes" "BAD" "Female" 0.61827957 1
"89" "< 0 DM" 18 "existing credits paid back duly till now" "car (new)" 2249 "100 <= ... <  500 DM" "4  <= ... < 7 years" 4 "none" 3 "car or other" 30 "none" "A152" 1 "management / self-employed / highly qualified employee / officer" 2 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.35869565 0
"90" "< 0 DM" 12 "no credits taken / all credits paid back duly" "repairs" 1108 "< 100 DM" "4  <= ... < 7 years" 4 "none" 3 "real estate" 28 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "BAD" "Female" 0.49484536 0
"91" "no checking account" 12 "critical account / other credits existing (not at this bank)" "radio / television" 618 "< 100 DM" ">= 7 years" 4 "none" 4 "real estate" 56 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.03846154 0
"92" "< 0 DM" 12 "critical account / other credits existing (not at this bank)" "car (used)" 1409 "< 100 DM" ">= 7 years" 4 "none" 3 "real estate" 54 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.17977528 0
"93" "no checking account" 12 "critical account / other credits existing (not at this bank)" "radio / television" 797 "unknown / no savings account" ">= 7 years" 4 "none" 3 "building society savings agreement / life insurance" 33 "bank" "A152" 1 "unskilled - resident" 2 "none" "yes" "BAD" "Male" 0.13636364 0
"94" ">= 200 DM" 24 "critical account / other credits existing (not at this bank)" "furniture / equipment" 3617 "unknown / no savings account" ">= 7 years" 4 "co-applicant" 4 "unknown / no property" 20 "none" "A151" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.27173913 0
"95" "0 < ... <  200 DM" 12 "existing credits paid back duly till now" "car (new)" 1318 ">= 1000 DM" ">= 7 years" 4 "none" 4 "real estate" 54 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.16574586 0
"96" "0 < ... <  200 DM" 54 "no credits taken / all credits paid back duly" "business" 15945 "< 100 DM" "< 1 year" 3 "none" 4 "unknown / no property" 58 "none" "A151" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.81097561 1
"97" "no checking account" 12 "critical account / other credits existing (not at this bank)" "education" 2012 "unknown / no savings account" "4  <= ... < 7 years" 4 "none" 2 "car or other" 61 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.07179487 0
"98" "0 < ... <  200 DM" 18 "existing credits paid back duly till now" "business" 2622 "100 <= ... <  500 DM" "1  <= ... < 4 years" 4 "none" 4 "car or other" 34 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.375 0
"99" "0 < ... <  200 DM" 36 "critical account / other credits existing (not at this bank)" "radio / television" 2337 "< 100 DM" ">= 7 years" 4 "none" 4 "real estate" 36 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.39344262 0
"100" "0 < ... <  200 DM" 20 "delay in paying off in the past" "car (used)" 7057 "unknown / no savings account" "4  <= ... < 7 years" 3 "none" 4 "building society savings agreement / life insurance" 36 "bank" "A151" 2 "management / self-employed / highly qualified employee / officer" 2 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.21428571 0
"101" "no checking account" 24 "existing credits paid back duly till now" "car (new)" 1469 "100 <= ... <  500 DM" ">= 7 years" 4 "none" 4 "real estate" 41 "none" "A151" 1 "unskilled - resident" 1 "none" "yes" "GOOD" "Female" 0.13903743 0
"102" "0 < ... <  200 DM" 36 "existing credits paid back duly till now" "radio / television" 2323 "< 100 DM" "4  <= ... < 7 years" 4 "none" 4 "car or other" 24 "none" "A151" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.69117647 1
"103" "no checking account" 6 "delay in paying off in the past" "radio / television" 932 "< 100 DM" "1  <= ... < 4 years" 3 "none" 2 "real estate" 24 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.16374269 0
"104" "0 < ... <  200 DM" 9 "critical account / other credits existing (not at this bank)" "furniture / equipment" 1919 "< 100 DM" "4  <= ... < 7 years" 4 "none" 3 "car or other" 35 "none" "A151" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.23 0
